label,sentence,sample_index
1,the gorgeously elaborate continuation of the lord of the rings trilogy is so huge that a column of words can not adequately describe co writer director peter jackson s expanded vision of j r r tolkien s middle earth,1
1,singer composer bryan adams contributes a slew of songs a few potential hits a few more simply intrusive to the story but the whole package certainly captures the intended er spirit of the piece,2
1,yet the act is still charming here,3
1,whether or not you re enlightened by any of derrida s lectures on the other and the self derrida is an undeniably fascinating and playful fellow,4
1,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing,5
1,good fun good action good acting good dialogue good pace good cinematography,9
1,dramas like this make it human,10
1,you walk out of the good girl with mixed emotions disapproval of justine combined with a tinge of understanding for her actions,13
1,you ll probably love it,16
1,taymor utilizes the idea of making kahlo s art a living breathing part of the movie often catapulting the artist into her own work,21
1,but tongue in cheek preposterousness has always been part of for the most part wilde s droll whimsy helps being earnest overcome its weaknesses and parker s creative interference,27
1,much of the movie s charm lies in the utter cuteness of stuart and margolo,28
0,a sour little movie at its core an exploration of the emptiness that underlay the relentless gaiety of the 1920 s the film s ending has a what was it all for,34
1,cremaster 3 should come with the warning for serious film buffs only,36
1,but believe it or not it s one of the most beautiful evocative works i ve seen,38
1,a spoof comedy that carries its share of laughs sometimes a chuckle sometimes a guffaw and to my great pleasure the occasional belly laugh,40
1,a welcome relief from baseball movies that try too hard to be mythic this one is a sweet and modest and ultimately winning story,46
0,it s only in fairy tales that princesses that are married for political reason live happily ever after,53
1,a terrific b movie in fact the best in recent memory,54
1,birthday girl is an actor s movie first and foremost,55
1,if you re as happy listening to movies as you are watching them and the slow parade of human frailty fascinates you then you re at the right film,60
1,this comic gem is as delightful as it is derivative,64
1,the leaping story line shaped by director peter kosminsky into sharp slivers and cutting impressions shows all the signs of rich detail condensed into a few evocative images and striking character traits,66
1,allen shows he can outgag any of those young whippersnappers making moving pictures today,74
1,i encourage young and old alike to go see this unique and entertaining twist on the classic whale s tale you wo n t be sorry,77
1,one of the best silly horror movies of recent memory with some real shocks in store for unwary viewers,89
1,a fascinating dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction,94
1,while not for every taste this often very funny collegiate gross out comedy goes a long way toward restoring the luster of the national lampoon film franchise too long reduced to direct to video irrelevancy,98
1,meyjes provocative film might be called an example of the haphazardness of evil,105
1,it s a sweet laugh a minute crowd pleaser that lifts your spirits as well as the corners of your mouth,114
1,it s tough to watch but it s a fantastic movie,116
1,the best animated feature to hit theaters since beauty and the beast 11 years ago,117
1,pacino is the best he s been in years and keener is marvelous,119
1,moonlight mile gives itself the freedom to feel contradictory things,125
1,it is sentimental but feels free to offend is analytical and then surrenders to the illogic of its characters is about grief and yet permits laughter,126
1,the real triumphs in igby come from philippe who makes oliver far more interesting than the character s lines would suggest and sarandon who could n t be better as a cruel but weirdly likable wasp matron,127
1,if you re willing to have fun with it you wo n t feel cheated by the high infidelity of unfaithful,129
1,australia land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place,130
1,an enthralling aesthetic experience one that s steeped in mystery and a ravishing baroque beauty,133
1,duvall is strong as always,137
1,it makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small budget film,143
1,the picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life but also acknowledging the places and the people from whence you came,145
1,a terrific insider look at the star making machinery of tinseltown,146
0,a party hearty teen flick that scalds like acid,148
1,poignant and delicately complex,153
1,enough may pander to our basest desires for payback but unlike many revenge fantasies it ultimately delivers,154
1,if you come from a family that eats meddles argues laughs kibbitzes and fights together then go see this delightful comedy,158
1,it s the filmmakers post camp comprehension of what made old time b movies good bad that makes eight legged freaks a perfectly entertaining summer diversion,160
1,the film s strength is n t in its details but in the larger picture it paints of a culture in conflict with itself with the thin veneer of nationalism that covers our deepest media soaked fears,161
1,despite its shortcomings girls ca n t swim represents an engaging and intimate first feature by a talented director to watch and it s a worthy entry in the french coming of age genre,164
1,with dirty deeds david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control driven by a natural sense for what works on screen,165
0,frida is n t that much different from many a hollywood romance,171
1,reno delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well balanced fashion,186
1,a touching small scale story of family responsibility and care in the community,189
1,arteta directs one of the best ensemble casts of the year,190
1,there s a part of us that can not help be entertained by the sight of someone getting away with something,197
1,the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious minded concerns of other year end movies,200
1,not everyone will welcome or accept the trials of henry kissinger as faithful portraiture but few can argue that the debate it joins is a necessary and timely one,201
1,there are no special effects and no hollywood endings,202
1,in its dry and forceful way it delivers the same message as jiri menzel s closely watched trains and danis tanovic s no man s land,206
1,a triumph of emotionally and narratively complex filmmaking,207
1,beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart,213
1,i stopped thinking about how good it all was and started doing nothing but reacting to it feeling a part of its grand locations thinking urgently as the protagonists struggled feeling at the mercy of its inventiveness gasping at its visual delights,215
1,s1m0ne s satire is not subtle but it is effective,223
1,it s a quirky off beat project,224
0,while some will object to the idea of a vietnam picture with such a rah rah patriotic tone soldiers ultimately achieves its main strategic objective dramatizing the human cost of the conflict that came to define a generation,225
1,an impeccable study in perversity,232
1,stuffed to the brim with ideas american instigator michael moore s film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition,235
1,affectionately reminds us that in any language the huge stuff in life can usually be traced back to the little things,236
1,wilco fans will have a great time and the movie should win the band a few new converts too,241
1,tsai has a well deserved reputation as one of the cinema world s great visual stylists and in this film every shot enhances the excellent performances,242
1,leguizamo and jones are both excellent and the rest of the cast is uniformly superb,244
1,with or without the sex a wonderful tale of love and destiny told well by a master storyteller,249
1,on the surface a silly comedy scotland pa would be forgettable if it were n t such a clever adaptation of the bard s tragic play,250
0,you might want to take a reality check before you pay the full ticket price to see simone and consider a dvd rental instead,253
1,a backstage must see for true fans of comedy,255
1,below may not mark mr twohy s emergence into the mainstream but his promise remains undiminished,260
1,happily stays close to the ground in a spare and simple manner and does n t pummel us with phony imagery or music,262
1,a wonderfully loopy tale of love longing and voting,269
1,the last scenes of the film are anguished bitter and truthful,271
1,predictable storyline and by the book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell,273
1,one feels the dimming of a certain ambition but in its place a sweetness clarity and emotional openness that recalls the classics of early italian neorealism,275
1,whenever you think you ve figured out late marriage it throws you for a loop,277
1,a sensitive modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern china,280
1,cusack s just brilliant in this,281
1,the overall fabric is hypnotic and mr mattei fosters moments of spontaneous intimacy,284
1,evokes a palpable sense of disconnection made all the more poignant by the incessant use of cell phones,285
