label,sentence1,sentence2,sample_index
1,A military branch prepare for their duties.,a child was there,0
0,A man stands outside a blue building holding a white helmet.,A man is laying in a hammock that is strung between trees in his backyard.,2
1,The girl in pink does a midair leg splits.,The girl in pink is flexible.,3
1,A dog swimming.,The dog is in the water.,5
1,A white female wearing a hooded maroon sweater carries an object across a shallow river.,The woman is outside on the water.,10
0,A woman is standing by a metal fence looking at something.,A woman sitting by a wood fence.,11
0,An individual in jeans and a hoodie is sitting outside while tinkering with his bicycle.,A person is working.,13
0,A profession baseball player pitches a ball in a baseball game.,A baseball player throws the first pitch of the game.,16
0,A boy with a cap carrying a skateboard is walking along the lip of a feature at a skate park.,A man is looking for his cat,19
1,An Asian man sitting in a boat with a wide variety of fruit around him.,A man is sitting in a boat with fruits.,21
0,Good Samaritan pulling an extremely drunken man out of the street onto the sidewalk to avoid him from being run over.,A person running away from someone in need.,25
1,People in a pool and something just created a large splash.,There are people in the pool.,26
0,A bald man picking up a blue crap with tongs and putting it into a pot on the stove,The bald man is preparing dinner for his family.,27
0,The dog is chasing the other dog carrying a stick in its mouth.,The two dogs are sitting down.,28
0,a young man in an elaborate uniform.,A man is in the army.,35
1,Children's soccer game being played while the sun sets in the background.,Children playing soccer while the sun sets.,40
1,Three young women pose for the camera while a crowd stands behind them.,There are lots of people in the picture that the camera is taking.,41
1,The female with the dark shirt cutting the hair of the female in the red shirt.,A woman is giving a haircut.,43
1,A man holds up an electronic device while he and another male look on.,People are focused on a specific task.,46
0,Two women in a mixture of Islamic and American garb bring large boxes on a cart through a checkout line.,Three old men sit on a bench and chat.,47
1,"A guy in an orange shirt, orange shoes and brown hat on an airborne skateboard.",A man with riding a skateboard.,52
0,A man stands in a curvy corridor.,A man in a tuxedo is standing in a corridor.,53
1,Girl with tattoos looking a painting.,A girl looks at a painting.,55
1,A woman in a white dress fixes a man's suit while holding a bouquet of flowers.,A woman in a dress while holding flowers fixes a man's suit,60
0,A shirtless man poses with a girl hiking in a park.,The man and woman are hiking together.,61
0,Three people in the snow put their gear in order.,A group of people put their gear in order for their hike.,62
0,A few bike racers riding in a straight line,People in the bike race were talking and exchanging snacks.,63
1,An overweight couple walking.,Two people are walking.,68
0,"A person on a tree-lined hill, in winter, with a backpack and ski poles.",A person is riding a surfboard.,71
0,Several people dressed with angle wings and orange vest waiting for the subway.,A group of people gathering together.,73
1,A person is on a telephone pole in front of a building.,A person is outside,75
1,A man in spandex maneuvers his bike over an obstacle.,a man is riding his bike,76
0,Stargazer in a leather jacket prepares to gaze at the evening sky.,Stargazer in a leather jacket prepares to gaze at the morning sky.,77
1,Woman with a hat on climbing a cliff near a large body of water.,A woman is outside.,78
0,A young man in a black t-shirt playing the drums.,A young man in a black t-shirt plays a drum solo.,79
1,Old person walking down the sidewalk next to a white building.,There are people in the road.,80
1,Foreign man practicing his balance on a balance mat.,A human practicing.,81
0,Basketball player attempts to dunk the basketball while being surrounded by three members of the opposing team.,The player is trying to kick a field goal.,82
1,Two men dressed in hula skirts on the back of a moving truck.,The men dressed in hula skirts.,86
0,The mountains in the distance are wooded and snowy.,The mountains have an altitude of over 5200 feet.,89
0,Man showing a young boy an airplane.,A man shows his son an airplane.,91
1,"Two women, one in traditional Mexican clothing, help a child across the street, as a man looks on."," Two women, one in traditional Mexican clothing.",92
0,"A few girls are lined up, all wearing the same outfit, about to perform at a dance recital.",They are ready to go to bed earlier.,93
1,A pitcher is getting ready to throw a ball during a baseball game.,A baseball game is being played.,97
1,A woman wearing a black and blue dress figure skating on one leg.,A woman is out skating.,99
0,"In a baseball game the batter is swinging at the ball, while the catcher patiently waits for the ball to hit his glove.",The pitcher is ready because he doesn't think that the batter will hit the ball.,100
0,A cheerful man camps out in the snow with pink flamingos.,A happy man is hanging out with his flamingo friends.,101
1,The man in the glasses is working on a laptop computer.,A person with a laptop.,105
0,Two workers help customers at the Sonoma Artisan Sourdough Baker stand.,The bicycle salesmen sell the women used bicycles.,106
0,An older man tipping his hat while standing in a group of people.,The older man has white hair.,107
1,A child cleaning a pan in the kitchen sink.,A child is washing a pan,110
0,A girl with her leg out on a lawn.,The girl is inside laying on the sofa.,111
0,Two people go parasailing on the ocean with a beautiful scenic view in the background.,The couple are sailing on the water.,112
0,A brown dog jumps over a barrier that is black and white.,An animal is jumping over the hurdle.,115
1,Two kids eat corndogs outside.,The children are snacking.,116
0,A man with glasses standing on a ladder painting a wall.,A man is painting a mural.,120
1,A man brushing his teeth in the mirror.,A man is brushing his teeth.,123
0,A man helping a young child rollerskate.,The man and the boy are both eating ice cream.,127
1,"An African American boy is eating with a spoon while a man, sitting against a green background, watches.",a boys eats with a spoon,128
1,Child in a striped shirt is swinging from a rope swing.,A child is playing outside.,129
1,A Chinese high priest with her children in front of her wooden house.,The priest and children were outside of the house.,131
1,"As spectators watch, a man dressed in a cowboy outfit rides on the front of a long yellow tractor.",a man in a cowboy outfit rides on a yellow tractor,132
0,A man smokes a cigarette through a dusk mask while sitting in a chair.,the man doesnt smoke,136
1,"A person in two hooded sweatshirts, one striped and covering his head, and jeans stands facing a wall with graffiti on it.",a person in sweatshirts,139
1,A boy is attempting to climb an iron fence.,The boy is climbing the fence.,141
1,"A man wearing a black t-shirt, with a black bandanna on his head, dark glasses and a beard is playing an electric guitar outdoors with a microphone in front of him, while another man in a gray hat and purple shirt is behind him along with a drum set, and two other guitar players are partially visible on either side.",A music band is performing.,145
1,Two women and a man sitting in blue and yellow seats smile for the camera.,Some humans sitting,149
0,I man with a covered face burning an israei flag in front of a crowd.,A man is arrested for burning the American flag,160
1,A female figure skating in a black leotard.,A woman is ice skating.,163
0,Two teenagers playing in a big hallway.,Two teenagers are playing a physical game.,164
1,A man and a woman posing in front of a christmas tree.,Two people know each other.,165
0,Woman wearing sunglasses wearing a black outfit singing.,The sunglasses are large.,168
0,A group of children watch a man who is riding his bicycle on suspended wires.,The man is performing a trick.,169
0,A skateboarder grinds on a cement obstacle.,The skateboarder is asleep.,175
1,A Mexican man rides on a cart pulled by a donkey.,There is a person in a cart that's being pulled by an animal.,177
1,"A person rollerskating while wearing knee-pads, helmet, and wrist-guards.",A person with safety gear is skating.,178
0,a long snowboarder jumping over a barricade outside in the snow.,A snowboarder trespassing.,179
0,A man in rain gear is sweeping the puddles away on the ground.,A man in snow gear is shovelling snow.,182
0,Two female street performers playfully interact using a ball as a prop.,Two women are trying to make money by playing a show.,183
