label,sentence1,sentence2,sample_index
1,A redheaded woman with a baby in a harness.,There is a baby with a redheaded female.,7
0,A boy with a cap carrying a skateboard is walking along the lip of a feature at a skate park.,A man is looking for his cat,19
1,People in a pool and something just created a large splash.,There are people in the pool.,26
0,A bald man picking up a blue crap with tongs and putting it into a pot on the stove,The bald man is preparing dinner for his family.,27
0,The long black shadow casts a image on the rock while the young girl climbs the rock.,A cat is climbing a rock.,29
0,Woman riding a bike at a street fair.,A woman and her husband are riding books.,33
0,A woman wearing a plaid dress plays an instrument while standing near a tree.,A man play football in the park.,34
1,Four men with beards standing up and holding white plates.,There are four men holding plates.,45
1,Girl with tattoos looking a painting.,A girl looks at a painting.,55
0,A recently married couple pose outside in their wedding clothes.,They just filed for divorce.,56
0,People play beer pong.,A group of college students studying for a test.,59
1,"A shirtless young man, standing under purple lighting, points to the sky with both hands while holding a microphone in one hand.",A man is holding a microphone.,69
1,A person is on a telephone pole in front of a building.,A person is outside,75
1,Woman with a hat on climbing a cliff near a large body of water.,A woman is outside.,78
0,A man is shaving his face in the mirror while a girl stands behind him and takes a picture.,a man shaves for a school art project,87
1,A little boy is eating something and got it all over his mouth.,A child is eating food.,88
0,"A few girls are lined up, all wearing the same outfit, about to perform at a dance recital.",They are ready to go to bed earlier.,93
0,A guy dressed in red is approached by police.,The police sit in the doughnut shop eating.,103
1,The man in the glasses is working on a laptop computer.,A person with a laptop.,105
1,A group of guys working together to build something.,There are guys.,108
1,A child cleaning a pan in the kitchen sink.,A child is washing a pan,110
0,A girl with her leg out on a lawn.,The girl is inside laying on the sofa.,111
0,A brown dog is jumping up at another dog in front of the man in jeans.,A woman buys a new watch.,121
1,A child on the bungee ride at Brighton Pier.,A child on a ride at the Brighton Pier.,125
0,A man helping a young child rollerskate.,The man and the boy are both eating ice cream.,127
1,Two people look at a view.,There are two people.,134
1,"A person in two hooded sweatshirts, one striped and covering his head, and jeans stands facing a wall with graffiti on it.",a person in sweatshirts,139
1,"Two distant black dogs running across grass at camera, along side a path.",Two dogs are running by a path.,143
1,The bundled up child is playing with toys outdoors.,A child playing with toys.,153
0,A woman in a colorful top is sitting alone on a step in front of a street.,A woman sits by herself waiting for her date to pick her up.,158
0,I man with a covered face burning an israei flag in front of a crowd.,A man is arrested for burning the American flag,160
0,A man in a kayak is holding his paddle up high.,A man is in a car.,167
1,"Man in a blue shirt, playing musical instruments.",There's a man playing music,180
1,A child climbs into a go-kart.,A child gets in a go kart.,181
1,A woman in a striped tank top enjoys a cool beverage while taking in her surroundings.,A woman wearing a tank top.,195
1,There are keys in some kind of box which is open.,A box has keys in it,197
0,A brown and white dog is leaping over a log near water in the snow.,The dog is sitting near a fireplace.,200
0,"There are young men playing a game of football, one man has been tackled by another player.",A young man has just been tackled by an opponent in a high school football game.,204
0,"A group of soccer players on a field, one team wearing black and blue uniforms, the other, red and white.",The players are on the bus.,225
0,People are standing in a room with a television that has a picture of a boat on the water.,A family watching Gilligan's island,228
0,A young black man is having a conversation with a young black woman from his balcony.,The man and woman are brother and sister.,233
1,"A man in a suit carrying a briefcase walks on a sidewalk, near a puddle reflecting the image of a building.",A man walks near a building.,237
1,Many people are excited to be in a large pool of foam.,The people are in a pool.,242
1,"Two children, one male and one female are practicing outdoor rock climbing.",Two children are rock climbing.,248
0,A man in a blue headband plays tennis.,A man in a red headband is playing football.,257
1,People walking their dogs along a riverbank.,People with their dogs near a river.,263
1,A boy is upside down in midair near a lake at sunset.,A boy is outside.,264
1,A person is abseiling down a rock face attached to a rope.,There is a person outdoors,280
0,A bunch of women in a library with kids.,The women are in a spa.,282
1,A dog is perched up against a tree looking at the top.,A dog is by a tree.,289
1,A little girl grasps her hands while sitting on a green and white striped towel in a grassy field.,A little girl sitting outside.,296
1,Two young children are lying on a porch in sleeping bags.,Two children are in bags.,298
0,A baseball player hitting a home run.,the cat eats sheep,308
0,Men walking on city street with a yellow bus and two FedEx vehicles in the background.,The man are sleeping.,316
0,A man lays on the grass in a field and reads a book.,A man dancing on the streets.,330
1,Three women in a room drinking and having conversation.,There are drinks in the room.,333
1,An old man is holding two ice cream cones as he walks through the park.,A man is outside.,335
0,A man is leaning his bicycle on a tree.,The tree is falling on the house.,336
0,"A young girl is lying on some personal belongings, on a cart that is dragged by a horse and a man, on a dirt route.",The people are in a TV show about the 1800s.,353
1,A group of people take a look at an unusual tree.,group of people outdoors looking at a tree,359
1,A man tosses a soccer ball in the air on the beach at sunset while boats go by in the distance.,A man was on the beach.,362
0,"The children are playing outdoors, while a man smiles nearby.",The kids are stealing from a store.,363
0,A woman in black jeans sits on the railing of a bridge with a harbor in the background.,The woman is wearing blue jeans.,374
0,A person balance a basket on their head on a beach.,A person is making a snow angel in a yard.,376
0,Two men sit at table at a conference given answers as the questions are called out.,Two women sunbathing at a beach,377
0,An Oriental ceremony with ceremonial garb and a red umbrella.,the ceremony is for black people,383
0,"A young girl in sunglasses, poses for the camera.",A girl is sleeping on the couch.,385
1,A group of girls in skirts outside holding hands.,the girls are holding hands,397
1,A very young boy is looking at a piece of candy.,There is candy near the boy.,398
0,A boy and a girl playing in the pool on a sunny day.,It is clouding and storming.,401
1,A lone man sits in a boat in a cave with a group of people watching nearby.,A man is in a boat.,402
0,A man in a black shirt crosses a street with a guitar on his back.,The man is going to a club.,403
0,A little girl in pink and purple stands on a playground.,A little girl is in a hospital bed.,411
0,Two women and a young man play a game around a table.,Everyone is watching a movie.,416
1,An adult wearing a gray shirt with red sleeves sleeping on a couch.,There is an adult sleeping,421
1,This man is jumping up in the air on a rock bridge.,There is a man jumping in the air.,424
0,"A night shot of people gathered around a sign that says ""We Are Demanding"".","A night shot of people gathered around a sign that says ""NO SMOKING"".",433
1,An elderly man looks through a camera on a tripod during a trip to the mountains.,A man has a camera.,439
0,Woman being given a palm reading by a female psychic while two other women wait inside of a small shop.,A group of skiers go down a mountain,441
0,A man in a band is singing while wearing a very loud shirt.,A man is sleeping in a chair.,448
0,A woman walks by a river across city buildings.,a woman walking while on lunch,458
1,A young child plays with his new light-up toy.,A child plays.,461
1,Two women in black pants are smiling at something to their right side.,Women are smiling.,468
1,A man with his shoes off is sitting on a rug.,a person sitting.,469
