label,sentence1,sentence2,sample_index
1,A person in makeup in a traditional ceremony.,A person takes part in a traditional ritual,1
1,A woman with orange hair sitting behind a table with Tye-dyed t-shirts on them.,A woman with orange hair.,4
1,A dog swimming.,The dog is in the water.,5
1,"A confrontation between two gentlemen is occurring, one wielding a guitar, the other balling a fist.",One man is holding a guitar.,9
0,A woman is standing by a metal fence looking at something.,A woman sitting by a wood fence.,11
0,An individual in jeans and a hoodie is sitting outside while tinkering with his bicycle.,A person is working.,13
1,An Asian man sitting in a boat with a wide variety of fruit around him.,A man is sitting in a boat with fruits.,21
1,A lady holds a little boy while another little boy smiles at them.,A woman with two boys.,38
1,Men and women are demonstrating how to use workout equipment while being filmed.,People demostrate how to use workout equipment.,54
1,Girl with tattoos looking a painting.,A girl looks at a painting.,55
1,A woman in a white dress fixes a man's suit while holding a bouquet of flowers.,A woman in a dress while holding flowers fixes a man's suit,60
0,Four people on a balcony.,Four people are drinking on a balcony.,64
1,A couple dancing together while gazing into one another's eyes.,A couple are looking at each other while they dance.,72
1,A man and a woman are planting flowers.,People are planting flowers.,74
0,Stargazer in a leather jacket prepares to gaze at the evening sky.,Stargazer in a leather jacket prepares to gaze at the morning sky.,77
0,The mountains in the distance are wooded and snowy.,The mountains have an altitude of over 5200 feet.,89
0,A boy smiles at the camera and jumps in the air over the couch.,A young boy wanted his picture taking while jumping his highest.,94
1,A group of young people are standing and sitting around a table eating and drinking with one another.,The people are having a meal.,98
1,The man in the glasses is working on a laptop computer.,A person with a laptop.,105
1,Two kids eat corndogs outside.,The children are snacking.,116
1,A man climbs up a cliff and reaches an overhang.,A rock climber goes up a cliff.,117
1,A child on the bungee ride at Brighton Pier.,A child on a ride at the Brighton Pier.,125
0,A young boy is walking across a pipe that runs across water.,The boy is on a sewer pipe.,126
1,A girl with a ponytail in a black soccer uniform prepares to kick the ball.,A player gets ready to kick the ball.,130
1,The small dog wearing a tutu stands on its hind legs.,There is a dog standing on his legs,133
1,The young father was wearing his orange shirt while his daughter walked barefoot in the soft mossy grass.,"A young father was in orange shirt, at the same time his daughter was enjoying a walk on the soft mossy grass with barefoot",137
0,A group of bicyclists ride up the street.,A group of bicyclist ride down a hill.,140
1,"A man wearing a black t-shirt, with a black bandanna on his head, dark glasses and a beard is playing an electric guitar outdoors with a microphone in front of him, while another man in a gray hat and purple shirt is behind him along with a drum set, and two other guitar players are partially visible on either side.",A music band is performing.,145
0,A group of individuals in front of computers look at the front of the room.,Students in a computer lab,148
1,The bundled up child is playing with toys outdoors.,A child playing with toys.,153
1,"A carver bent over a statue holding a chisel and a carving hammer of sorts, wearing a black work shirt and safety goggles.",The carver is holding a chisel.,154
0,A woman in a colorful top is sitting alone on a step in front of a street.,A woman sits by herself waiting for her date to pick her up.,158
1,A large group of asian people are crowding around some sort of float at some sort of festival.,More than one Asian person is outside at an event.,161
1,Cement truck with a yellow mixer parked in front of a building.,A truck is next to a building,189
1,A man wearing a black shirt sings in a band.,The singer at the concert is wearing black.,190
1,There are keys in some kind of box which is open.,A box has keys in it,197
1,Four shirtless men hike up a canyon.,Four men are outdoors.,202
0,A lady wearing a celebratory bug dress,The women is ata gallery opening.,206
0,"A young boy hold a blue bucket, as it fills with water.",A bucket is filling with water,207
0,A woman and a man twirling in a dance alone on a wooden floor.,A couple dance on a crowded floor.,213
0,"Two young men, one wearing a black shirt and the other wearing a white shirt, are looking at papers on a table.",The two men are trying to design a building.,224
0,"A group of soccer players on a field, one team wearing black and blue uniforms, the other, red and white.",The players are on the bus.,225
0,A young man in blue and one in burgundy are in a wrestling competition.,the rocks were hard,232
0,A woman wearing a green shirt is attending cosmic bowling at the MonsterBowl.,A woman in green shoes leaves the bowling alley.,235
1,"A Girl Wearing Boots, Is Sitting On A Rock Near a Pond.",Someone sits near water.,236
1,"A man in a suit carrying a briefcase walks on a sidewalk, near a puddle reflecting the image of a building.",A man walks near a building.,237
0,"A man wearing a white cap, sunglasses, and red vest is playing a gold sousaphone.","A man, completely nude, plays a gold sousaphone.",243
1,A family sitting on rocks posing for the camera.,The people are related.,249
0,A girl is sleeping on top of a book in a library full of books.,A girl falls asleep in her bed.,255
0,A young man is taking pictures of two friends next to the ocean.,Two people posing for a photo shoot.,260
1,Bicyclers riding in a single file line.,People sitting on bikes.,261
0,The black cup sitting on the black saucer resembles a top hat.,the cup is red,262
0,An older man in a red vest and blue cap is walking with a cane carrying a white bag.,The man is wearing green shorts.,269
1,A man with a white shirt and tattoo sits inside an ice cream stand covered with pictures of delicious treats.,A man sits inside an ice cream stand covered with delicious treats pictures.,271
0,Two indian men wearing white are playing instruments on a padded mat.,Two men are wearing white hats.,277
1,A woman in a coat and a man in a tracksuit talking on a phone cross the street.,Two people cross the street.,281
0,A man in uniform tries to find something with the help of a sniffing dog.,A woman walks by the man in uniform.,285
1,Several men and women stand in front of a yellow table that is covered in piles of potatoes.,A pile of potatoes sits on a yellow table.,294
1,A young girl is giving a young boy who has a ring bearer's pillow a kiss.,A little girl gives a ring bearer a kiss,301
0,A middle-aged woman is repairing a part under the hood of her car.,A woman is a professional mechanic.,302
0,Two men on opposite teams playing basketball.,Two baseball players shaking hands,306
1,"A young black boy with a striped shirt, black shorts and black rain boots laying on a row of yellow street barriers.",A boy lays on some street barriers,317
1,A boy rides down a slide into a small backyard pool.,There is water in the pool,329
0,Someone is hang gliding or parachuting down by a large body of water with green hills all around.,A person crash landing on a hang glider toward a small pound surrounded by green hills in the woods.,338
1,"Woman looking at her phone, standing by a painted wall blocked by a tree.","There is a woman looking into her phone, standing next to a tree.",340
1,A young boy shoots a basketball into a hoop.,A young boy is playing with a basketball,341
1,Two dogs running down a dirt road.,Dogs are off their leash outside.,345
0,A woman lying down on a skateboard knocks down some rainbow colored bowling pins.,A pretty woman lying down knocks over some pins.,352
1,A man tosses a soccer ball in the air on the beach at sunset while boats go by in the distance.,A man was on the beach.,362
0,"The children are playing outdoors, while a man smiles nearby.",The kids are stealing from a store.,363
0,Children watch two boys playing a video game.,Kids are watching boys playing video games to learn.,364
0,A woman in black jeans sits on the railing of a bridge with a harbor in the background.,The woman is wearing blue jeans.,374
1,"An Asian chef is in the foreground, working over a steaming grill while a younger man is behind him.",A chef is preparing food on a grill near a younger man.,384
1,Female child walking on the beach wearing an elmo shirt.,Female child walking on the beach,390
1,A blond-haired boy is at the bottom of a slide.,The child is at a playground.,391
1,Hang glider on beach,air sport on beach,395
0,A dark-haired boy and dark-haired girl stand on the grass.,The humans are upside down.,399
1,A bicyclist is in midair on a cloudy day.,A person is riding a bike.,404
0,An african family are standing in front of some makeshift houses.,An African family are playing soccer.,405
0,A man in a helmet is riding a bike.,The man is not wearing any protective gear.,406
1,A young woman with blue jeans and a black tank top is walking down the sidewalk screaming and clutching her chest.,There is a human on a road.,412
0,"A man in an orange shirt and a man in a white shirt are at a vegetable stand, and the man in the orange shirt gives a woman wearing red some vegetables.",The two men are waiting on the bowl of Fruit Loops to get done.,417
1,The drag racers take off the starting line.,The racers are in cars.,419
1,"Two men, one in black, one in green and denim, on a dance floor.",The men are on the dance floor.,454
0,This small boy is eating color ice creme in the stick.,Person eating ice cream.,456
0,A woman walks by a river across city buildings.,a woman walking while on lunch,458
1,A little girl enjoying a frozen treat on the beach.,A girl is eating a frozen treat.,466
0,Three firemen wearing yellow suits one pointing up.,four firemen are buying groceries.,481
0,Two men with guitars are walking away from the beach.,The men walk away,482
1,A person standing outside an old building with headphones on.,A person is near a building.,488
1,People sit outside a building.,People are sitting.,502
1,Two women carrying grain on their head.,Two women use their heads for transporting grain.,504
1,There is a middle-aged lady who is performing with 2 fans in her hand and a lot of makeup on her face.,The woman is performing.,512
0,A large group of people explore around a rock structure.,A group of people are seeing a movie in the theater.,514
0,A woman sits on a gray bench beside a bottle.,The woman sits on a rug.,523
1,A woman wearing nave and black clothing is sitting on a window seal eating a sandwich.,A woman is sitting and eating a sandwich.,525
0,Man setting up a white tent.,A man has a tent in the woods.,526
0,The girl in the jacket is on the cement with a sucker in her mouth and a bike to the right.,The girl is about to ride her bike.,529
1,A young kid is jumping in a puddle.,The child is jumping in the puddle.,536
0,A woman and a child with a backpack walk down a city street towards a group of men.,A woman and her child walk towards the group of women.,537
0,Construction workers working on a highway at night as people look to see what they are doing.,Construction workers are working at night on a six-lane highway.,539
0,Four male musicians and one female musician are playing instruments outside a house.,Five people are sitting inside.,542
0,A man is dressed in a black shirt while balancing a round object on the back of his hand.,The man is a performer.,545
0,Two boys kick around a ball in a meadow.,Some children are playing soccer outside.,552
0,"A man, wearing an orange hard hat, standing on top a pile of bricks and rubble.",A man works on a demolition site.,556
1,A man is standing up holding a green bowling ball with his right hand.,A man is bowling.,559
0,"a man wearing a blue shirt, standing on the railroad is taking picture of the bridge.",He is on the bridge.,560
1,A man in an Ozzy t-shirt looks at his breakfast of poached eggs and toast with coffee on the side.,A man is eating breakfast,569
1,Three people pose with their political signs out in public.,Three people are in public posing with their political signs.,571
0,Two men not looking at pictures.,Two men looking at pictures.,574
1,A man walks out of the waves with his surfboard.,the man is wet.,575
1,A man in a hat is posing for a photo with a white donkey pulling a wagon.,A man is outside.,580
0,A young boy poses for the camera at an amusement park while riding a ride.,A boy is surprised by the camera photo as he is screaming on a rollercoaster.,583
0,Young boy next to a bike that's turned upside down is handling a socket wrench set that is set next to the bike.,The boy is riding his bike,593
0,a women's beach volleyball game,Women play volleyball in the gym.,600
1,2 women are standing in a street playing a blue guitar and a violin.,Two women are playing instruments in the street,606
1,Someone explaining an instrument.,Someone is teaching something.,614
1,"A child in a yellow jacket gazes at something he holds in his hand, which he has lifted from among a set of boxes of items arranged on a table in front of him.",A child is in a yellow jacket.,619
0,A gray dog jumps to bite a green leash.,A gray dog happily jumps,629
1,A child runs barefoot across a blacktop parking lot.,A child running on the parking area,630
0,A black and white dog is jumping over a fence in an obstacle course.,A black and white dog is playing in an obstacle course,632
1,A man running on a treadmill while listening to music.,A man running on a treadmill.,634
0,A barefooted boy on an uncrowded beach.,A boy is chasing a dog on the sidewalk.,635
0,Man using a loom to make something.,A man is making a bracelet with a loom.,638
1,An unhappy looking girl wearing a pink skirt and a boy with a white t-shirt are sitting on a couch.,Two children are sitting on a couch.,645
0,Several people are gathered around a monitor in a dimly lit room.,They are watching a vide,659
0,Four women are posing for a picture.,There is four men posing for a picture.,661
1,Two children play a game together.,Two people are playing a game.,663
1,Two Japanese actors wearing masks and colored costumes in front of an audience.,An audience watches two actors who are wearing masks and colorful outfits.,666
1,A family picnics in a park with a greenhouse in the background.,The family is having a picnic together at the park.,667
1,A lady in a beautiful outfit with a name tag.,the woman is clothed,671
0,"Two vehicles or trailers going away from the camera in a sandy region, with a driver on each and two people in the back who each appear younger, looking in the direction of one another.",two racers kick up dirt,686
1,"A group of people, several of which are wearing fuzzy pink antennae.",A group of people are wearing antennae.,688
1,Young people sit or sunbathe on a park meadow.,Some young people are sitting outside in the sun.,689
0,Two black dogs playing in the grass.,Two dogs are playing together.,698
0,Two groups of swimmers wade out.,two groups of swimmers are competing,699
1,A group of people rowing on a lake.,tourists are enjoying water,703
1,"Man with a backpack on walking down a street, red information stand in the background.",The man strolls down the road.,707
0,People picking up trash in the park.,Dolphins jump through rings of fire.,716
1,A man holds a small child.,The child is small,717
1,Three men perform with guitars on stage while one sings.,There are 4 men,726
0,A hot girl talking to her friends while walking.,The pretty girl never has to pay for a thing.,728
0,"A few men are shown flipping in the air, upside down, as a result of using a contraption that is on their legs.",guys play with super pogo sticks,760
0,The girl in the blue coat is holding a purple capped water bottle.,The girl is in a red coat.,768
1,a woman running in a race while onlookers cheer her on,A woman is running.,769
1,A dog standing in the shallow part of the ocean while the waves splash around.,dog standing among waves in the ocean,770
1,A short-haired woman in a dimly lit room is holding a microphone.,A woman is holding a microphone,775
1,A man crouching outside a house while two other people look on.,A man is outside by a house,778
1,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a tool.,784
1,Small child with long hair climbing up a rock towards large boulder.,The long haired kid climbed up the rock.,791
0,A person in a biking suit rides a bike down a hill.,There is a girl on the bike.,792
0,Two children in swimwear play volleyball at a beach side court.,"Near the beach, two girls are playing volleyball.",793
0,People walking on a one way urban street.,People running on the street in front of cars.,804
1,Several people preparing food in a kitchen.,Some people are cooking.,806
1,Someone is about to ride a motocross bike down the hill.,Someone is getting to ride a bike.,814
1,little girls in swimsuits are laughing,The little girls are not taking a nap yet.,822
1,A little league football game is underway in a suburban neighborhood.,There are children playing football.,823
0,A group of construction workers work next to a road at night.,There is no road to be fixed.,824
0,A man in a black shirt stares at a swordsman,A man in a black shirt is running from a swordsman.,825
1,A man wearing a leather jacket and a bandanna approaches a parked motorcycle outside of a building.,a man in a jacket,827
0,A small group of people are at a rollerskating rink.,A group of people are tying roller skates on at a rollerskating rink.,830
0,A man in a white shirt and blue shorts and a man in a red shirt and white shorts playing soccer.,Messi left the defender in his wake as he drilled in the last goal of his hat-trick for Barcelona.,832
1,A dog with a collar running through the water,A dog runs through water.,845
0,A wakeboarder in the ocean is in the middle of a flip.,The wakeboarder is practicing for a tournament.,846
0,The photo looks down on a street where five pedestrians are walking.,The photograph is shot by a female.,851
0,A woman dancer in a black tutu and nude hose dances with her arms over her head in front of a darkly painted background with dried leaves on the floor.,The woman is a ballet dancer,853
0,A man wearing a green numbered shirt is sitting in a stadium.,A man roots for his favorite player at the sports game,854
1,"A young boy in a red ""U.S.A."" t-shirt plays with a toy circuit board kit.",A boy is playing with a circuit board kit.,860
1,a dog jumps for the Frisbee the girl is holding.,A dog jumps for the Frisbee the person is holding.,863
1,A woman is swimming with her three young children.,The people are in the water,876
1,A little girl holds a red balloon in front of a doorway.,There is a person in close proximity to a man-made structure.,878
1,Several construction workers are looking at an escalator,Workers look at an escalator.,882
1,A medium sized dog is jumping to get a stick.,The dog wants that stick,891
0,Two people running in the direction that is right for them.,Two fat people running in the direction that is right for them.,892
0,A chunk of meat is presented out the window of a shop while a young man goes toward it.,The man is asleep.,894
1,"A man walking in a buttoned up shirt on the right of the picture, in front of a black car.",The man is walking.,899
0,Active person silhouetted against the sky.,There is a person's silhouette with the dark sky in the background,917
1,Snowboarder in a striped shirt going off a ramp in front of a crowd.,It is snowing,918
0,A tennis player gets ready to return the ball.,The tennis player is on a grass court.,920
0,"A woman in a white baseball hat reveals her tan line to her friend, who wears a sunhat",The woman is tired,922
0,An older man with wild hair is checking out motorbikes.,The motorcycles are for sale.,924
0,A woman is looking down and wearing a white hair piece that looks like a wedding veil.,A woman is getting married.,928
0,A dog is running in the dirt and snow.,A puppy is asleep on a couch.,933
1,A woman is walking her baby with a stroller at the local park.,A woman in the park walking her baby.,936
0,Man about to kick football on a field.,A man swings his golf club.,943
1,A man with a dog is seated at the base of a statue.,The man and the dog are by the statue,950
1,Four people are riding horses on the beach.,Some people are riding horses.,951
0,Marathon runners run down a one way street.,Runners race down a street that has been blocked off from traffic.,953
1,A woman in blue shorts is carrying her shoes whilst walking on the beach next to the ocean.,A woman is visiting the beach and walking without shoes.,954
